"","country","data.doses_admin","data.raw_full_vac","data.percent_full_vac","data.date"
"1","Afghanistan",2566925,"430744","1.13229269081547",1635120000
"2","Albania",1860335,"868964","30.4451944526488",1635120000
"3","Algeria",14082920,"4032942","9.36737728292167",1635120000
"4","Andorra",102692,"47720","61.8599465919992",1635120000
"5","Angola",5661085,"1534757","4.82244390821829",1635120000
"6","Antigua and Barbuda",102834,"47298","48.7015795218188",1635120000
"7","Argentina",58128269,"25227233","56.1369738411728",1635120000
"8","Armenia",620698,"186081","6.29134292469464",1635120000
"9","Australia",34364950,"15484232","61.0473292252771",1635120000
"10","Austria",11374640,"5579837","62.8567633881776",1635120000
"11","Azerbaijan",9353744,"4310597","43.0056893336119",1635120000
"12","Bahamas",244223,"114612","29.4267771039483",1635120000
"13","Bahrain",2741537,"1137010","69.280367932185",1635120000
"14","Bangladesh",60153454,"20264496","12.4286863767372",1635120000
"15","Barbados",263548,"117900","41.0765612751502",1635120000
"16","Belarus",4472001,"1863182","19.6811063778724",1635120000
"17","Belgium",17272533,"8518985","74.1809839817033",1635120000
"18","Belize",360089,"144531","37.0257177477821",1635120000
"19","Bhutan",1103506,"517513","67.8179040010903",1635120000
"20","Bolivia",7470155,"3465762","30.1027698882143",1635120000
"21","Bosnia and Herzegovina",1242203,"508008","15.3895183277795",1635120000
"22","Botswana",882831,"263852","11.4534159657281",1635120000
"23","Brazil",268199870,"114767275","54.3793092699042",1635120000
"24","Brunei",579263,"234921","54.2185859191987",1635120000
"25","Bulgaria",2721234,"1436426","20.5916745140781",1635120000
"26","Burma",15797703,"4574418","8.46402525875458",1635120000
"27","Cambodia",26998351,"12856612","77.9824659410081",1635120000
"28","Cameroon",490604,"150894","0.583134116905069",1635120000
"29","Canada",58161185,"27976539","74.4269440565234",1635120000
"30","Chile",34970187,"14553371","76.7905330286906",1635120000
"31","China",2240550000,"1047872000","74.9703623413929",1635120000
"32","Colombia",45687674,"19773196","39.279727429642",1635120000
"33","Costa Rica",6124445,"2527143","50.0666163321256",1635120000
"34","Cote d'Ivoire",3005741,"769945","2.99396761866602",1635120000
"35","Croatia",3554203,"1772187","43.5694406883835",1635120000
"36","Cyprus",1203326,"566820","47.2911582504224",1635120000
"37","Czechia",12076686,"6052065","56.7219312166808",1635120000
"38","Denmark",8831054,"4402566","75.6642759806433",1635120000
"39","Dominica",50991,"23579","32.8361742424242",1635120000
"40","Dominican Republic",13046499,"5242777","48.8201648614326",1635120000
"41","Ecuador",21492532,"10090387","58.0786422574584",1635120000
"42","Egypt",23177181,"7683710","7.65400686593516",1635120000
"43","El Salvador",8313116,"3684848","57.0979737828139",1635120000
"44","Equatorial Guinea",424653,"185228","13.6600230385859",1635120000
"45","Estonia",1415699,"736771","55.5387120361227",1635120000
"46","Eswatini",270643,"229476","19.9869352773641",1635120000
"47","Ethiopia",4102954,"1001920","0.893943034507975",1635120000
"48","Fiji",1136909,"517175","58.1126194304643",1635120000
"49","Finland",8007597,"3785226","68.5690342976867",1635120000
"50","France",97886077,"45606061","68.0079598106093",1635120000
"51","Gabon",217606,"91802","4.22548501113193",1635120000
"52","Gambia",241290,"203746","8.67851426030346",1635120000
"53","Georgia",1920934,"907106","24.3820661426703",1635120000
"54","Germany",110785298,"55045227","66.2136096247643",1635120000
"55","Ghana",2727537,"825706","2.71454372063567",1635120000
"56","Greece",12558035,"6341057","59.1719528397896",1635120000
"57","Grenada",65362,"28605","25.5394944778265",1635120000
"58","Guatemala",8316740,"3115753","18.7650452968455",1635120000
"59","Guinea",2124390,"691551","5.41490626678086",1635120000
"60","Guyana",607930,"233391","29.8161902790872",1635120000
"61","Honduras",6605470,"2764643","28.3666100047845",1635120000
"62","Hungary",12111107,"5714861","58.4942766845559",1635120000
"63","Iceland",567789,"278276","77.017987174555",1635120000
"64","India",1024149949,"299553298","21.9225267765366",1635120000
"65","Indonesia",181688388,"67165732","24.8186941449671",1635120000
"66","Iran",79533819,"28872959","34.8228185028456",1635120000
"67","Iraq",8506934,"3246256","8.25813767529574",1635120000
"68","Ireland",7297243,"3735655","75.5984485506666",1635120000
"69","Israel",15842510,"5712912","63.1030894811837",1635120000
"70","Italy",88748661,"42708924","70.8304617333724",1635120000
"71","Jamaica",891142,"358007","12.1429145613424",1635120000
"72","Japan",185079015,"86937361","68.8531330999579",1635120000
"73","Jordan",7354774,"3460831","34.2599072987164",1635120000
"74","Kazakhstan",15497251,"7300564","39.4328162632137",1635120000
"75","Kenya",4902772,"1414202","2.68992796112251",1635120000
"76","Korea, South",76760822,"Not Available","Not Available",1635120000
"77","Kosovo",1532585,"697728","38.8869320183163",1635120000
"78","Kuwait",2380000,"923307","21.9464888142212",1635120000
"79","Kyrgyzstan",1661058,"714684","11.068531338568",1635120000
